Author,Year,Title,Alloy(at. fraction),Preparation,anneal_temperature,anneal_time,Al,Nb,Ti,V,Zr,Cr,Mo,Hf,Ta,W,x(Al),x(Nb),x(Ti),x(V),x(Zr),x(Cr),x(Mo),x(Hf),x(Ta),x(W),Phase,Phase_content,Density_error,test_temperature,strain_rate,C(0)/T(1),Density,YS,YS_error,UTS,UTS_error,EL,EL_error,SYS,HV,HV_error
Tianxin Li,2022,Effect of Zr on the as-cast microstructure and mechanical properties of lightweight Ti2VNbMoZrx refractory high-entropy alloys,Ti2VNbMoZr1.5,AM,0,0,0,1,2,1,1.5,0,1,0,0,0,0,15.38,30.77,15.38,23.08,0,15.38,0,0,0,1,bcc_A2(1)+bcc_A2(2),0.01,25,0.001,0,6.73,1412,47,0,0,29.5,1,209.81,422.8,4.1
Tianxin Li,2022,Effect of Zr on the as-cast microstructure and mechanical properties of lightweight Ti2VNbMoZrx refractory high-entropy alloys,Ti2VNbMoZr2,AM,0,0,0,1,2,1,2,0,1,0,0,0,0,14.29,28.57,14.29,28.57,0,14.29,0,0,0,1,bcc_A2(1)+bcc_A2(2),0.01,25,0.001,0,6.71,1421,6,0,0,31.6,1,211.77,433.8,6.2
Tianxin Li,2022,Effect of Zr on the as-cast microstructure and mechanical properties of lightweight Ti2VNbMoZrx refractory high-entropy alloys,Ti2VNbMoZr3,AM,0,0,0,1,2,1,3,0,1,0,0,0,0,12.5,25,12.5,37.5,0,12.5,0,0,0,1,bcc_A2,0.01,25,0.001,0,6.69,1287,18,0,0,29.7,1,192.38,405.7,6.1
Gengbiao Chen,2021,Effects of Zr Content on the Microstructure and Performance of TiMoNbZrx High-Entropy Alloys,TiMoNbZr0.5,AM,0,0,0,1,1,0,0.5,0,1,0,0,0,0,28.57,28.57,0,14.29,0,28.57,0,0,0,1,bcc_A2,0,25,0.001,0,7.47,1314,33,1673,11,11,1,175.9,516,52
Gengbiao Chen,2021,Effects of Zr Content on the Microstructure and Performance of TiMoNbZrx High-Entropy Alloys,TiMoNbZr,AM,0,0,0,1,1,0,1,0,1,0,0,0,0,25,25,0,25,0,25,0,0,0,1,bcc_A2,0,25,0.001,0,7.32,1287,21,1518,16,8,1,175.82,489,43
Gengbiao Chen,2021,Effects of Zr Content on the Microstructure and Performance of TiMoNbZrx?High-Entropy Alloys,TiMoNbZr0.5,AM,0,0,0,1,1,0,0.5,0,1,0,0,0,0,28.57,28.57,0,14.29,0,28.57,0,0,0,1,bcc_A2,0,25,0.001,0,7.47,1134,33,0,0,11,0,151.8222242,516,52
Gengbiao Chen,2021,Effects of Zr Content on the Microstructure and Performance of TiMoNbZrx?High-Entropy Alloys,TiMoNbZr,AM,0,0,0,1,1,0,1,0,1,0,0,0,0,25,25,0,25,0,25,0,0,0,1,bcc_A2,0,25,0.001,0,7.32,1287,21,0,0,8,0,175.8333435,489,43
Chao Xu,2024,Enhancing mechanical performance of Ti2ZrNbHfVAlx?refractory high-entropy alloys through laves phase,Ti2ZrNbHfV,AM,0,0,0,1,2,1,1,0,0,1,0,0,0,16.67,33.33,16.67,16.67,0,0,16.67,0,0,2,bcc_A2+Laves,0,25,0.001,0,7.51,1008,0,0,0,50,0,134.2664665,317,0
Chao Xu,2024,Enhancing mechanical performance of Ti2ZrNbHfVAlx?refractory high-entropy alloys through laves phase,Ti2ZrNbHfVAl0.2,AM,0,0,0.2,1,2,1,1,0,0,1,0,0,3.23,16.13,32.26,16.13,16.13,0,0,16.13,0,0,2,bcc_A2+Laves,0,25,0.001,0,7.37,1176.6,0,0,0,50,0,159.6499398,360,0
Chao Xu,2024,Enhancing mechanical performance of Ti2ZrNbHfVAlx?refractory high-entropy alloys through laves phase,Ti2ZrNbHfVAl0.4,AM,0,0,0.4,1,2,1,1,0,0,1,0,0,6.25,15.63,31.25,15.63,15.63,0,0,15.63,0,0,2,bcc_A2+Laves,0,25,0.001,0,7.24,1265.4,0,0,0,50,0,174.7803174,375,0
